,Unnamed: 0,NO,Title.of.Program,LOCATION,Executing.Firm,CONSULTANT,Start.Date,Anticipated.Completion.Date,Contract.Sum,Funding.Sources,Status.of.Project
243,243,244.   ,Gravelling of Works along IPS/Mempeasem link road-Ayawaso West Wuogon (0+000-0+200),IPS/Mempeasem link road-Ayawaso West Wuogon,Messrs Rozarre Limited,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"20,305.00",Road Fund,Completed
266,266,267.   ,Upgrading of Spintex road and East Legon Area Roads and Culverts on Spintex Road,Ayawaso West,M/S Ussauya (Gh) Ltd,Metro Roads Department,"Thursday, August 09, 2018","Thursday, July 12, 2018","38,429,462.33",Road Fund,Completed
345,345,346.   ,"Routine maintenance along Abossey Okai road: 800M X 0.9M X 0.7M,800M X0.6M X 0.6M(RHS)",Accra,Messrs Quarkor Limited,Metro Roads Department,-,3 Month,"6,817.00",IGF,Completed
432,432,433.   ,Surfacing works along Bonsu road- Accra Newtown (Chainage 0+300-0+430),Alajo,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,599.20",Road Fund,Completed
433,433,434.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+000-0+250)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"48,825.00",Road Fund,Completed
434,434,435.   ,"Gravelling works on outer ring road extension, Mamprobi-Ablekuma South(Chainage 0+250-0+510)",Mamprobi,Messrs Kuumfaman Co. Ltd/Syndicated Capital Finance,Metro Roads Department,"Monday, November 14, 2005",4 Months,"41,909.00",Road Fund,Completed
435,435,436.   ,"Routine maintenance works on Cleland street, high street & 28th February road for the month of November",Accra,Messrs Salleydeen Co. Ltd,Metro Roads Department,"Friday, February 14, 2020",6 Months,"4,880.00",Road Fund,Completed
444,444,445.   ,"Routine maintenance,Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M for the month of March(RHS)",Accra,Messrs Dantoz Ent.,Metro Roads Department,"Monday, July 14, 1930",3 Months,"6,817.00",Road Fund,Completed
445,445,446.   ,"Routine maintenance, Abossey Okai road:800M X 0.9M X 0.7M , 800M X 0.6M X 0.6M (RHS) for the month of October, 2014",Accra,Messrs Dantoz Ent.,Metro Roads Department,-,-,"6,817.00",Road Fund,Completed
454,454,455.   ,Gravelling of IPS Extension road link 4 and 5 Mempeasem (CH 500),Ayawaso     west,Messrs Zaprozhe company Ltd,Metro Roads Department,"Friday, November 13, 2026",5 Months,"49,127.60",Road Fund,Completed
458,458,459.   ,Construction of concrete sped hump at Abossey Okai roads,Abossey Okai area and Old Winneba,Messrs Dantoz Ent.,Metro Roads Department,"Monday, February 14, 2028",4 Months,"49,168.08",Road Fund,Completed
459,459,460.   ,Gravelling works on Ontinshie road (CH 0+000-0+300) Ayawaso West Wuogon,Ayawaso West,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,715.00",Road Fund,Completed
461,461,462.   ,Surfacing works on Papao road-west legon (CH 0+000-0+200),West Legon,Messrs Henkoq Ventures,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed
462,462,463.   ,Surfacing works on Papao road-west legon (CH 0+200-0+400),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,-,-,"49,503.80",Road Fund,Completed
463,463,464.   ,Gravelling works on Papao road-west legon (0.5KM),West Legon,Messrs Zaprozhe company Ltd,Metro Roads Department,"Sunday, April 14, 2024",5 Months,"49,920.00",Road Fund,Completed
467,467,468.   ,Surfacing works on Papao road-west legon (CH 0+400-0+500),West Legon,Messrs Reggio Company Ltd,Metro Roads Department,"Thursday, October 14, 2021",5 Months,"28,739.40",Road Fund,Completed
495,495,496.   ,Resealing of selected roads in Accra,Metro wide,Messrs Core Const. Ltd,Metro Roads Department,"Wednesday, November 11, 2015","Monday, October 11, 2021","1,525,865.50",GOG,Completed
498,498,499.   ,Rehabilitation of Boundary Road Motorway slip road and Gulf House to North Dzorwulu,Ayawaso West,Messrs G.S International Developer GH Ltd,Metro Roads Department,"Thursday, December 10, 1931","Sunday, March 11, 2001","38,795.111.85",GOG,Completed
500,500,501.   ,Rehabilitation of Achimota by pass road to West Legon,Okaikoi North,Maripoma Ent. Ltd,Metro Roads Department,"Monday, November 12, 2012","Sunday, January 13, 2008","6,961,243.94",GOG,Completed
501,501,502.   ,Partial reconstruction of selected roads at Ayawaso Central – 4.5km,Ayawaso Central,Messrs Cisco Co. Ltd,Metro Roads Department,"Monday, November 12, 2012","Monday, December 13, 2004","2,205,336.55",GOG,Completed
517,517,518.   ,Provision and installation of road signs on Gulf House North Dzorwulu Link,Dzorwulu,Messrs Josigns Ghana Ltd.,Metro Roads Department,"Monday, May 13, 2013",3 Months,"42,700.00",Road Fund,Completed
519,519,520.   ,Construction of Access road to New Sewerage Treatment Plant,Ablekuma South,Messrs Perjas Co.LTD,Metro Roads Department,"Saturday, June 13, 2026",3 Months,"49,771.55",Road Fund,Completed
562,562,563.   ,Gravelling works on 1st Chemu Link road – Ablekuma South (Chainage 0+000-0+350),Mamprobi,Messrs  Umar Babi Enterprise,Metro Roads Department,-,-,"49,801.44",Road Fund,Completed
568,568,569.   ,Gravelling works on Pentecost road A and B Mempeasem (CH 0+00-0+500) Ayawaso West,Mempeasem,Messrs Amacol Company Limited,Metro Roads Department,"Friday, December 14, 2018","Wednesday, January 15, 1930","47,894.38",Road Fund,Completed
577,577,578.   ,"Routine maintenance along Abossey Okai road (RHS) for the month of April, 2015",Abossey Okai,Messrs Dantpz Ent,Metro Roads Department,-,-,"4,880.00",Road Fund,Completed
593,593,594.   ,Gravelling works along 1st Nii Sai link road – Mempeasem (0+400-0+750) Ayawaso West,Mempeasem,Messrs Fatom Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2008","42,777.20",Road Fund,Completed
594,594,595.   ,Gravelling works along 1st Nii Sai Link road – Mempeasem (0+000-0+400) Ayawaso West Contract No: AMRD/LA/Vol. 7/17/PM/001,Mempeasem,Messrs Fatom Company Limited,Metro Roads Department,"Friday, December 14, 2018","Tuesday, April 15, 2008","48,633.05",Road Fund,Completed
596,596,597.   ,Gravelling works on Alogboshie Main road (Chainage 0+000-0+180) Contract No: AMRD/PM/PQ/VOL.3/201/128,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","38,059.34",Road Fund,Completed
597,597,598.   ,Gravelling works on Alogboshie Main road  (Chainage 0+600-0+900) Contract no: AMRD/PM/PQ/VOL.3/2014/130,Alogboshie,Messrs Lomenf Co. Ltd,Metro Roads Department,"Friday, June 14, 2024","Monday, January 15, 2001","49,860.50",Road Fund,Completed
612,612,613.   ,Surfacing of Otinshe road (Ch 0+000-0+150) Legon ARMD/LA/VOL.3/13/PM/137,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005",3 Months,"49,541.63",Road Fund,Completed
615,615,616.   ,Gravelling of Afadjato road (330M)-Ablekuma Central,Laterbiokorshie,Messrs Man Akpak Enterprise,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"46,208.60",Road Fund,Completed
631,631,632.   ,Resealing of Aviation road extension (0+900-1+200)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/199),Roman Ridge,Messrs Rokaba Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed
633,633,634  ,Resealing of Aviation road extension (0+300-0+600)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/197),Roman Ridge,Messrs Reloboto Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed
634,634,635  ,Resealing of Aviation road extension (0+900-1+200)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/198),Roman Ridge,Messrs Rokaba Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed
635,635,636  ,Resealing of Aviation road extension (0+000-0+300)-Roman Ridge (AMRD/PM/PQ/VOL.4/2014/196),Roman Ridge,Messrs Reloboto Enterprise,Metro Roads Department,"Thursday, July 14, 2016","Monday, January 15, 2007","49,173.60",Road Fund,Completed
645,645,646  ,Surfacing of Otinshe road (Ch 0+750-0+900) East Legon ARMD/LA/VOL.3/13/PM/133,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","46,835.25",Road Fund,Completed
646,646,647  ,Surfacing of Otinshe road (Ch 0+750-0+600) East Legon ARMD/LA/VOL.3/13/PM/133,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","46,835.25",Road Fund,Completed
647,647,648  ,Surfacing of Otinshe road (Ch 0+450-0+600) East Legon ARMD/LA/VOL.3/13/PM/179,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005",3 Months,"49,200.95",Road Fund,Completed
648,648,649  ,Surfacing of Otinshe road (Ch 0+000-0+150) East Legon ARMD/LA/VOL.3/13/PM/137,Ayawaso West,Messrs Rozarre Limited,Metro Roads Department,"Sunday, November 13, 2005","Friday, February 14, 2014","49,541.63",Road Fund,Completed
651,651,652  ,Surfacing works on censor-N1 link road (Ch 0+120-0+240)-Ayawaso West,West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed
652,652,653  ,Surfacing works on censor-N1 link road (Ch 0+240-0+360)-Ayawaso West,West Legon,Messrs Syndicated Capital Engineering,Metro Roads Department,"Thursday, July 14, 2016","Friday, January 15, 2016","49,870.88",Road Fund,Completed
281,281,282.   ,Gravelling works on Kum Hotel Road (chainage 0+000-0+500),Okaikoi North,Messrs Mahaza company Ltd,Metro Roads Department,"Monday, September 11, 2017","Friday, December 11, 1931","48,650.00",Road Fund,Completed
304,304,305.   ,Gravelling Of Tractor Street-(chainage 0+800-1+200)-Okaikoi North,Mamprobi –Alhaji Area,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,262.00",Road Fund,Completed
364,364,365.   ,Gravelling works on Ntow Street chainage (0+000-0+175) Relocated to Charles Oku Street,Bubuashie,Messrs Reggio Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"32,940.63",IGF,Completed
365,365,366.   ,Gravelling Works On Ntow Street chainage (90+175 -0+350) Relocated To Charles Oku Street,Bubuashie,Messrs Reggio Company Limited,Metro Roads Department,"Thursday, October 14, 2021",3 Months,"32,940.63",IGF,Completed
515,515,516.   ,Surfacing of Lomo Adamu Street (chainage 0+150-300),La,Messrs Benfipiah Company Limited,Metro Roads Department,"Friday, March 13, 2026",3 Months,"47,603.19",Road Fund,Completed
706,706,707  ,Gravelling works on Korle Bu Street –Sabon Zongo (chainage 0+060-0+225) and (Chainage 0+262-0+280) Ablekuma Central  ,Sabon Zongo,Messrs Salleydeen Company Limited,Metro Roads Department,"Monday, September 14, 2026","Friday, February 15, 2013","49,945.80",Road Fund,Completed
731,731,732  ,Gravelling works on Roads in Police Depot Training School Road 2 in Tesano (chainage 0+160-0+310)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed
732,732,733  ,Gravelling works on Roads in Police Depot Training School Road 1 in Tesano (chainage 0+150-0+300)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed
733,733,734  ,Gravelling works on Roads in Police Depot Training School Road 2 in Tesano (chainage 0+000-0+160)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed
734,734,735  ,Gravelling works on Roads in Police Depot Training School Road 1 in Tesano (chainage 0+000-0+160)  ,Tesano Police Depot,Messrs Salleydeen Company Limited,Metro Roads Department,"Friday, December 14, 2018","Friday, September 14, 2029","49,343.13",Road Fund,Completed
226,226,227.   ,Gravelling Works at Naa Atobia Street – Ablekuma North (Chainage 0+000-0+400 ),Sabon Zongo,Messrs Glarenn Enterprise,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,531.00",Road Fund,Completed
227,227,228.   ,Surfacing Works along Hyde Link 1 ( Chainage 0+000-0+150),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,918.00",Road Fund,Completed
229,229,230.   ,Surfacing Works along Hyde Link 1 ( Chainage 0+000-0+150 ) Sabon Zongo – Ablekuma Central,Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"49,918.00",Road Fund,Completed
230,230,231.   ,Surfacing of ST. Thomas Street  ( Chainage 0+000-0+150 ) Sabon Zongo – Ablekuma Central,Dansoman,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"40,268.00",Road Fund,Completed
231,231,232.   ,Surfacing Works along Hyde Link 2 ( Chainage 0+000-0+195 ),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,327.05",Road Fund,Completed
232,232,233.   ,Surfacing of ST. Thomas Street  ( Chainage 0+150-0+300 ) Sabon Zongo – Ablekuma Central,Ayawaso West,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"40,268.00",Road Fund,Completed
233,233,234.   ,Gravelling Works on 5th Damba Street – Ablekuma South (Chainage 0+000-0+375),Sabon Zongo,Messrs Umar Babi Enterprise,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"46,973.00",Road Fund,Completed
234,234,235.   ,Surfacing Works along Hyde Link 2 ( Chainage 0+195-0+390 ),Sabon Zongo,Messrs Amanland Company Limited,Metro Roads Department,"Wednesday, October 13, 2021",3 Months,"49,327.05",Road Fund,Completed
235,235,236.   ,Gravelling Works on Otinshie Road (Chainage 0+600-0+900) – Ayawaso West Wuogon,Sabon Zongo,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"49,715.00",Road Fund,Completed
236,236,237.   ,Gravelling Works on Heaven Gate Road ( Chainage 0+000-0+250) – Ayawaso West Wuogon,Ayawaso West,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"43,043.00",Road Fund,Completed
237,237,238.   ,Gravelling Works on Otinshie Road (Chainage 0+300-0+600) – Ayawaso West Wuogon,Ayawaso West,Messrs Rozarre Limited / Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"49,715.00",Road Fund,Completed
239,239,240.   ,Gravelling Works along IPS/Mempeasem link 2 Ayawaso West Wuogon (Chainage 0+000-0+200),IPS/Mempeasem link 2 Ayawaso West Wuogon,Messrs Amanland Company Limited,Metro Roads Department,"Tuesday, May 13, 2014",3 Months,"20,305.00",Road Fund,Completed
242,242,243.   ,Construction of 0.60M U-Drains along Mempeasem link Road (Chainage 0+170-0+340),Mempeasem,Messrs Ernma Ventures,Metro Roads Department,"Friday, September 13, 2002",3 Months,"47,222.99",Road Fund,Completed
244,244,245.   ,Gravelling Works along Tafo Amon and Extension – Okaikoi South (Chainage 0+900-1+350),Bubuashie,Messrs Kin Aimaz Company Limited,Metro Roads Department,"Thursday, November 13, 2014",3 Months,"49,295.00",Road Fund,Completed
245,245,246.   ,Surfacing Works on Mantseakwatia Street (Chainage 0+000-0+190),Kaneshie,Messrs Unicorn Universal Company Limited,Metro Roads Department,"Wednesday, November 13, 2013",3 Months,"49,166.80",Road Fund,Completed
246,246,247.   ,Surfacing Works on Nii Akwatia Street Behind Kaneshie police Post (Chainage 0+000-0+190),Kaneshie,Messrs Benfipiah Company Ltd,Metro Roads Department,"Friday, March 13, 2026",3 Months,"49,166.80",Road Fund,Completed
255,255,256.   ,Gravelling works on Otinshie Road (Chainage 0+000-0+300)-Ayawaso West Wuogon,Ayawaso West,Messrs Grace Ghana Limited,Metro Roads Department,"Monday, August 14, 2006",3 Months,"49,715.00",Road Fund,Completed
256,256,257.   ,Construction of 0.6M U Drain along Prempeh Street RHS – Ablekuma North (Chainage 0+880-1+050),Ablekuma North,Messrs Rozarre Limited/Unisecurities Asset Management,Metro Roads Department,"Thursday, August 13, 2020",3 Months,"48,087.35",Road Fund,Completed
262,262,263.   ,Construction of 0.6M U Drain along Prempeh Street RHS – Ablekuma North (Chainage 0+880-1+050),Ablekuma North,Messrs Core Construction Limited,Metro Roads Department,"Wednesday, December 13, 2017",3 Months,"48,087.35",Road Fund,Completed
264,264,265.   ,Drainage Works along Kwashie Ahiaku Street RHS (Chainage 0+125-0+305) –Ablekuma North,Darkuman,Messrs Fashad Enterprise,Metro Roads Department,"Saturday, September 13, 1930",3 Months,"49,856.81",Road Fund,Completed
276,276,277.   ,Surfacing Works on Tambu Link Road (Chainage 0+000-0+150),East Legon,Messrs Vicdor resolute Ltd.,Metro Roads Department,"Monday, October 12, 2009","Friday, January 13, 2023","49,770.58",Road Fund,Completed
287,287,288.   ,Gravelling Works on Sunflower Street (Chainage 0+500-1+000),Darkuman,Messrs Quakor Ltd.,Metro Roads Department,-,-,"48,662.86",Road Fund,Completed
288,288,289.   ,Gravelling Works on Sunflower Street (Chainage 0+000-0+500),Darkuman,Messrs Quakor Ltd.,Metro Roads Department,-,-,"48,662.86",Road Fund,Completed
294,294,295.   ,Resealing of Kpakpo Mankralo Road (Chainage 0+400-0+800)-Ablekuma South,Mataheko,Messrs Perjas Company Ltd,Metro Roads Department,-,1 Month,"48,229.44",Road Fund,Completed
295,295,296.   ,Resealing Of Gbegbe Street-Dansoman (Chainage 0+000-0+460)- Ablekuma South,Dansoman,Messrs Galoni Ventures,Metro Roads Department,-,1 Month,"49,219.33",Road Fund,Completed
296,296,297.   ,Gravelling Of 11th Adote Obour Street-Ablekuma Central(Chainage 0+000-0+400),Zamrama Line,Messrs Galoni Ventures,Metro Roads Department,-,1 Month,"49,637.00",Road Fund,Completed
297,297,298.   ,Gravelling of 10th Adote Obour Street-Ablekuma Central(Chainage 0+000-0+400),Zamrama Line,Messrs Kack Forty Limited,Metro Roads Department,-,1 Month,"49,637.00",Road Fund,Completed
298,298,299.   ,Gravelling Of  Alhaji Avenue (Chainage 0+000-0+255)-Ablekuma Central,Mataheko,M/S Dantoz Enterprise,Metro Roads Department,-,1 Month,"34,192.40",Road Fund,Completed
299,299,300.   ,Gravelling Of 12th Adote Obour Street-Ablekuma Central (Chainage 0+000-0+400,Zamrama Line,M/S Seer Limited,Metro Roads Department,-,1 Month,"49,722.80",Road Fund,Completed
300,300,301.   ,Surfacing Of Nii Pkankpan Street(Chainage 0+000-0+200),Ablekuma North,M/S QJM Enterprise,Metro Roads Department,-,1 Month,"49,791.10",Road Fund,Completed
301,301,302.   ,Surfacing Of Nii Namoale Street Street(Chainage 0+000-0+160),Ablekuma North,M/S QJNM Enterprise,Metro Roads Department,-,1 Month,"45,547.61",Road Fund,Completed
302,302,303.   ,Surfacing Of Nii Namoale Street Street(Chainage 0+000-0+200),Ablekuma North,Messrs Abasa General Enterprise Limited,Metro Roads Department,-,1 Month,"49,964.00",Road Fund,Completed
305,305,306.   ,Resealing Of Kpakpo Mankralo Road (Chainage 0+000-0+400)-Ablekuma South,Mataheko,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,977.22",Road Fund,Completed
306,306,307.   ,Construction Of 0.6M U Drains Along Guggisberg Extension  LHS (Chainage 4+200-4+375)Dansoman,Dansoman,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,794.77",Road Fund,Completed
307,307,308.   ,Construction Of 0.6 M U Drain Along Guggisberg Extension LHS Chainage [4+200-4+375] Dansoman,Dansoman,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,794.77",Road Fund,Completed
308,308,309.   ,Gravelling Of Market Lane –Kum Hotel Area Roads (Chainage 0+500-1+000),Okaikoi North,Messrs Del Ronna company Limited,Metro Roads Department,-,1 Month,"49,666.25",Road Fund,Completed
315,315,316.   ,Gravelling Of IVY Street Dansoman – Ablekuma South (Chainage 0+000-0+425),Ablekuma South,Messrs Saahene & Sons Trading & Const. Company Ltd,Metro Roads Department,-,1 Month,"49,492.80",Road Fund,Completed
316,316,317.   ,Surfacing Works  on Cotton Street-East Legon (Chainage 0+150+300),East Legon,Messrs Solid Cast Enterprise,Metro Roads Department,-,1 Month,"41,980.87",IGF,Completed
